001	张三	100.0	100.0	100.0	100.0
002	李四	76.0	89.0	95.0	82.0
003	王五	91.0	77.0	83.0	90.0
004	赵六	55.0	81.0	72.0	79.0
005	孙七	88.0	94.0	86.0	91.0
006	周八	79.0	67.0	80.0	75.0
007	吴九	93.0	87.0	90.0	84.0
008	郑十	72.0	75.0	58.0	80.0
009	钱一	81.0	83.0	77.0	86.0
010	冯二	65.0	70.0	73.0	66.0
011	陈晨	89.0	91.0	82.0	93.0
012	林浩	74.0	79.0	85.0	71.0
013	杨帆	90.0	86.0	92.0	87.0
014	徐宇	69.0	73.0	67.0	74.0
015	朱轩	83.0	80.0	76.0	81.0
016	何泽	77.0	82.0	79.0	73.0
018	马航	71.0	52.0	70.0	68.0
019	胡阳	86.0	90.0	84.0	89.0
020	罗鑫	67.0	72.0	75.0	69.0
021	江辰	80.0	78.0	82.0	76.0
022	沈俊	73.0	70.0	65.0	77.0
023	韩旭	94.0	91.0	87.0	92.0
024	曹明	66.0	69.0	71.0	65.0
025	丁宇	82.0	85.0	79.0	83.0
026	吕杰	78.0	74.0	81.0	70.0
027	孟凡	87.0	93.0	90.0	85.0
028	樊宇	70.0	76.0	72.0	79.0
029	焦阳	91.0	84.0	88.0	95.0
030	严浩	75.0	68.0	66.0	73.0
031	温泽	84.0	81.0	77.0	80.0
032	施凯	69.0	74.0	71.0	67.0
033	陶然	88.0	92.0	85.0	91.0
034	尤航	72.0	79.0	76.0	70.0
035	葛明	90.0	83.0	86.0	87.0
036	纪凡	53.0	71.0	68.0	66.0
037	盛宇	81.0	77.0	83.0	79.0
038	霍辰	76.0	82.0	73.0	75.0
039	卞阳	93.0	89.0	91.0	88.0
040	齐越	68.0	70.0	74.0	72.0
041	虞天	85.0	80.0	76.0	82.0
042	欧泽	79.0	84.0	71.0	77.0
043	邢浩	92.0	87.0	90.0	94.0
044	俞辰	71.0	65.0	69.0	67.0
045	邸明	83.0	78.0	81.0	86.0
046	储俊	77.0	73.0	80.0	74.0
047	隗阳	89.0	91.0	84.0	90.0
048	关航	66.0	72.0	69.0	70.0
049	米凡	80.0	82.0	75.0	78.0
050	刁宇	74.0	68.0	71.0	65.0
051	终瑞	91.0	85.0	88.0	92.0
052	闻泽	69.0	75.0	73.0	66.0
053	匡阳	82.0	79.0	84.0	80.0
054	寇鑫	73.0	70.0	67.0	76.0
055	劳辰	87.0	93.0	90.0	86.0
056	浦俊	70.0	77.0	72.0	71.0
057	尚旭	94.0	90.0	86.0	91.0
058	农明	65.0	68.0	70.0	69.0
059	谷宇	81.0	83.0	78.0	85.0
060	武杰	78.0	74.0	82.0	73.0
061	吉凡	86.0	92.0	89.0	84.0
062	汤宇	72.0	79.0	75.0	68.0
063	卫阳	90.0	84.0	87.0	93.0
064	殷浩	67.0	71.0	66.0	70.0
065	冷泽	83.0	80.0	77.0	81.0
066	娄辰	76.0	81.0	79.0	72.0
067	霍瑞	92.0	88.0	93.0	89.0
068	孔航	71.0	66.0	69.0	74.0
069	尹阳	85.0	82.0	79.0	87.0
070	狄鑫	68.0	73.0	56.0	65.0
071	虞辰	80.0	77.0	83.0	76.0
072	伏俊	75.0	69.0	67.0	71.0
073	成旭	91.0	86.0	90.0	88.0
074	饶明	66.0	70.0	72.0	68.0
075	严宇	82.0	79.0	75.0	80.0
076	蓝杰	77.0	73.0	81.0	74.0
077	元凡	88.0	91.0	85.0	92.0
078	杭宇	70.0	76.0	71.0	69.0
079	符阳	93.0	89.0	91.0	87.0
080	苗浩	69.0	72.0	67.0	73.0
081	厉泽	84.0	81.0	78.0	82.0
082	谷辰	73.0	68.0	70.0	66.0
083	柴瑞	89.0	92.0	86.0	90.0
084	米航	71.0	77.0	74.0	70.0
085	昝阳	90.0	85.0	88.0	94.0
086	寇鑫	65.0	69.0	72.0	67.0
087	娄辰	81.0	78.0	83.0	79.0
088	闻俊	76.0	82.0	73.0	75.0
089	匡旭	92.0	87.0	90.0	89.0
090	农明	68.0	71.0	66.0	72.0
091	吉宇	83.0	79.0	76.0	81.0
092	汤杰	78.0	74.0	80.0	70.0
093	卫凡	87.0	93.0	89.0	85.0
094	殷宇	72.0	78.0	75.0	69.0
095	冷阳	91.0	84.0	87.0	92.0
096	娄浩	67.0	70.0	51.0	71.0
097	霍泽	82.0	80.0	77.0	84.0
098	孔辰	75.0	81.0	72.0	73.0
099	尹瑞	93.0	88.0	91.0	90.0
100	狄航	66.0	73.0	69.0	54.0
